PartitionKey,RowKey,Province,City,Distri,Store,Address,URL
AAA,2,北京市,北京市,昌平区,北京恒运康轮胎商贸中,北京市昌平区燕丹汽配城西区22号,http://hutai.giti.com/store-locator/detail?DealerCode=S0010056ZQB&Province=%E5%8C%97%E4%BA%AC%E5%B8%82&IsPromotion=False
AAA,3,北京市,北京市,昌平区,北京路顺豫恒轮胎销售,北京市昌平区回龙观镇北郊汽配城H区1-2号,http://hutai.giti.com/store-locator/detail?DealerCode=S00100202LS&Province=%E5%8C%97%E4%BA%AC%E5%B8%82&IsPromotion=False
AAA,4,北京市,北京市,昌平区,北京市东三旗孙一新汽,北京市昌平区北七家镇东三旗村218号,http://hutai.giti.com/store-locator/detail?DealerCode=S00100097LS&Province=%E5%8C%97%E4%BA%AC%E5%B8%82&IsPromotion=False
AAA,5,北京市,北京市,昌平区,北京新龙天朔汽车配件,北京市昌平区回龙观镇北郊汽车配件市场E区1号,http://hutai.giti.com/store-locator/detail?DealerCode=S00100096LS&Province=%E5%8C%97%E4%BA%AC%E5%B8%82&IsPromotion=False
AAA,6,北京市,北京市,昌平区,北京蓝碧建材有限公司,北京市昌平区阳坊镇东贯市村南,http://hutai.giti.com/store-locator/detail?DealerCode=S00100137LS&Province=%E5%8C%97%E4%BA%AC%E5%B8%82&IsPromotion=False
AAA,7,北京市,北京市,昌平区,北京福乐常在汽车配件,北京市昌平区科技园区拓然家苑1号楼米其林轮胎,http://hutai.giti.com/store-locator/detail?DealerCode=S00100081LS&Province=%E5%8C%97%E4%BA%AC%E5%B8%82&IsPromotion=False
AAA,8,北京市,北京市,昌平区,北京市昌平区东小口镇,北京市昌平区东小口镇半截塔村17号（临时）,http://hutai.giti.com/store-locator/detail?DealerCode=S00100167LS&Province=%E5%8C%97%E4%BA%AC%E5%B8%82&IsPromotion=False
AAA,9,北京市,北京市,昌平区,北京大东流吉祥汽车配,北京市昌平区小汤山镇大东流4-5档,http://hutai.giti.com/store-locator/detail?DealerCode=S00100151LS&Province=%E5%8C%97%E4%BA%AC%E5%B8%82&IsPromotion=False
AAA,10,北京市,北京市,昌平区,北京市昌平区东小口镇,北京市昌平区七里居镇白各庄村淀四路商品一条街8号,http://hutai.giti.com/store-locator/detail?DealerCode=S00100107LS&Province=%E5%8C%97%E4%BA%AC%E5%B8%82&IsPromotion=False
AAA,11,北京市,北京市,昌平区,北京博识顺通汽车修理,北京市昌平区沙河镇王庄工业园东边底商二间,http://hutai.giti.com/store-locator/detail?DealerCode=S00100230LS&Province=%E5%8C%97%E4%BA%AC%E5%B8%82&IsPromotion=False
